"geneID","proteinID","descrip"
"BKA90DRAFT_135384","KAE8173688.1","mitochondrial 18 KDa protein-domain-containing protein"
"BKA90DRAFT_135386","KAE8173689.1","hypothetical protein"
"BKA90DRAFT_135389","KAE8173690.1","hypothetical protein"
"BKA90DRAFT_135392","KAE8173691.1","hypothetical protein"
"BKA90DRAFT_173183","KAE8173692.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_135395","KAE8173693.1","mRNA-capping enzyme subunit beta"
"BKA90DRAFT_135396","KAE8173694.1","hypothetical protein"
"BKA90DRAFT_135397","KAE8173695.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_135398","KAE8173696.1","hypothetical protein"
"BKA90DRAFT_167296","KAE8173697.1","hypothetical protein"
"BKA90DRAFT_173188","KAE8173698.1","hypothetical protein"
"BKA90DRAFT_135402","KAE8173699.1","peptidase C13 family-domain-containing protein"
"BKA90DRAFT_135404","KAE8173700.1","Phosphoglucose isomerase"
"BKA90DRAFT_135405","KAE8173701.1","hypothetical protein"
"BKA90DRAFT_161304","KAE8173702.1","hypothetical protein"
"BKA90DRAFT_135413","KAE8173703.1","Formamidopyrimidine-DNA glycosylase N-terminal domain-containing protein"
"BKA90DRAFT_135414","KAE8173704.1","calponin homology domain-containing protein"
"BKA90DRAFT_135416","KAE8173705.1","hypothetical protein"
"BKA90DRAFT_135417","KAE8173706.1","kinase-like domain-containing protein"
"BKA90DRAFT_156422","KAE8173707.1","hypothetical protein"
"BKA90DRAFT_135419","KAE8173708.1","hypothetical protein"
"BKA90DRAFT_135420","KAE8173709.1","mitochondrial Rho GTPase 1"
"BKA90DRAFT_135423","KAE8173710.1","nucleophile aminohydrolase"
"BKA90DRAFT_135425","KAE8173711.1","RNase P subunit Pop3-domain-containing protein"
"BKA90DRAFT_135427","KAE8173712.1","Sac2 family-domain-containing protein"
"BKA90DRAFT_135428","KAE8173713.1","CAAX protease self-immunity-domain-containing protein"
"BKA90DRAFT_135429","KAE8173714.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_173205","KAE8173715.1","hypothetical protein"
"BKA90DRAFT_109605","KAE8173716.1","amidase signature domain-containing protein"
"BKA90DRAFT_135432","KAE8173717.1","alpha 1,6 mannosyltransferase"
"BKA90DRAFT_135433","KAE8173718.1","domain of Kin17 curved DNA-binding protein-domain-containing protein"
"BKA90DRAFT_156490","KAE8173473.1","hypothetical protein"
"BKA90DRAFT_135437","KAE8173474.1","exocyst complex component Sec3-domain-containing protein"
"BKA90DRAFT_135438","KAE8173475.1","Zinc/iron permease"
"BKA90DRAFT_135439","KAE8173476.1","chromatin assembly factor 1 subunit A-domain-containing protein"
"BKA90DRAFT_135440","KAE8173477.1","mitochondrial presequence protease"
"BKA90DRAFT_135441","KAE8173478.1","C3HC zinc finger-like-domain-containing protein"
"BKA90DRAFT_135442","KAE8173479.1","orotate phosphoribosyl transferase"
"BKA90DRAFT_135443","KAE8173480.1","signal recognition particle protein"
"BKA90DRAFT_135445","KAE8173481.1","anticodon-binding protein"
"BKA90DRAFT_161331","KAE8173482.1","hypothetical protein"
"BKA90DRAFT_135453","KAE8173483.1","hypothetical protein"
"BKA90DRAFT_7633","KAE8173484.1","carbonic anhydrase"
"BKA90DRAFT_167330","KAE8173485.1","hypothetical protein"
"BKA90DRAFT_135464","KAE8173486.1","CTAG/Pcc1 family"
"BKA90DRAFT_135465","KAE8173487.1","hypothetical protein"
"BKA90DRAFT_109639","KAE8173488.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_135468","KAE8173489.1","Snf7-domain-containing protein"
"BKA90DRAFT_135469","KAE8173490.1","hypothetical protein"
"BKA90DRAFT_135470","KAE8173491.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_7700","KAE8173492.1","hypothetical protein"
"BKA90DRAFT_135474","KAE8173493.1","thioredoxin-like protein"
"BKA90DRAFT_135476","KAE8173494.1","Choline/Carnitine o-acyltransferase-domain-containing protein"
"BKA90DRAFT_135477","KAE8173495.1","CTD kinase subunit gamma CTK3-domain-containing protein"
"BKA90DRAFT_95375","KAE8173496.1","hypothetical protein"
"BKA90DRAFT_135479","KAE8173497.1","structure-specific endonuclease subunit SLX1"
"BKA90DRAFT_135480","KAE8173498.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_135481","KAE8173499.1","hypothetical protein"
"BKA90DRAFT_173229","KAE8173500.1","MAP kinase"
"BKA90DRAFT_135483","KAE8173501.1","ATP-dependent RNA helicase DHH1"
"BKA90DRAFT_145633","KAE8173502.1","Phosphoribosylformylglycinamidine cyclo-ligase"
"BKA90DRAFT_95392","KAE8173503.1","hypothetical protein"
"BKA90DRAFT_135491","KAE8173504.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_151685","KAE8173505.1","hypothetical protein"
"BKA90DRAFT_135494","KAE8173506.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_135495","KAE8173507.1","ketopantoate reductase PanE/ApbA-domain-containing protein"
"BKA90DRAFT_135497","KAE8173508.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_135498","KAE8173509.1","cofilin"
"BKA90DRAFT_135500","KAE8173510.1","hypothetical protein"
"BKA90DRAFT_135501","KAE8173511.1","PITH domain-containing protein"
"BKA90DRAFT_135502","KAE8173512.1","hypothetical protein"
"BKA90DRAFT_135504","KAE8173513.1","50S ribosomal protein L30e-like protein"
"BKA90DRAFT_135505","KAE8173514.1","hypothetical protein"
"BKA90DRAFT_7865","KAE8173515.1","Sec63 Brl domain-containing protein"
"BKA90DRAFT_135509","KAE8173516.1","dehydrogenase E1 component-domain-containing protein"
"BKA90DRAFT_81007","KAE8173517.1","hypothetical protein"
"BKA90DRAFT_135514","KAE8173518.1","IKI3 family-domain-containing protein"
"BKA90DRAFT_95432","KAE8173519.1","hypothetical protein"
"BKA90DRAFT_135516","KAE8173520.1","hypothetical protein"
"BKA90DRAFT_135517","KAE8173521.1","peptidase M18"
"BKA90DRAFT_135518","KAE8173522.1","GPI ethanolamine phosphate transferase 1"
"BKA90DRAFT_135520","KAE8173523.1","hypothetical protein"
"BKA90DRAFT_161372","KAE8173524.1","hypothetical protein"
"BKA90DRAFT_135522","KAE8173525.1","mitochondrial cytochrome c peroxidase"
"BKA90DRAFT_135525","KAE8173526.1","40S ribosomal protein S11"
"BKA90DRAFT_135526","KAE8173527.1","hypothetical protein"
"BKA90DRAFT_135528","KAE8173528.1","ribosomal protein L1/ribosomal biogenesis protein"
"BKA90DRAFT_135529","KAE8173529.1","T-complex protein 1 subunit delta"
"BKA90DRAFT_135530","KAE8173530.1","cell division cycle protein"
"BKA90DRAFT_161379","KAE8173531.1","hypothetical protein"
"BKA90DRAFT_135532","KAE8173532.1","Sas10 C-terminal domain-containing protein"
"BKA90DRAFT_135533","KAE8173533.1","rRNA processing/ribosome biogenesis-domain-containing protein"
"BKA90DRAFT_135534","KAE8173534.1","CDP-alcohol phosphatidyltransferase-domain-containing protein"
"BKA90DRAFT_135536","KAE8173535.1","hypothetical protein"
"BKA90DRAFT_135538","KAE8173536.1","CBF/Mak21 family-domain-containing protein"
"BKA90DRAFT_135540","KAE8173537.1","mitochondrial thiamine pyrophosphate carrier 1"
"BKA90DRAFT_135541","KAE8173538.1","ribosomal protein S5 domain 2-type protein"
"BKA90DRAFT_135542","KAE8173539.1","tRNA synthetases class I-domain-containing protein"
"BKA90DRAFT_135543","KAE8173540.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_95484","KAE8173541.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_151716","KAE8173542.1","hypothetical protein"
"BKA90DRAFT_173266","KAE8173543.1","hypothetical protein"
"BKA90DRAFT_135550","KAE8173544.1","Decaprenyl diphosphate synthase-like protein"
"BKA90DRAFT_135551","KAE8173545.1","hypothetical protein"
"BKA90DRAFT_135552","KAE8173546.1","flap endonuclease 1"
"BKA90DRAFT_135553","KAE8173547.1","Mechanosensitive ion channel-domain-containing protein"
"BKA90DRAFT_135557","KAE8173548.1","hypothetical protein"
"BKA90DRAFT_135558","KAE8173549.1","Mu homology domain-containing protein"
"BKA90DRAFT_135559","KAE8173550.1","aminotransferase"
"BKA90DRAFT_135561","KAE8173551.1","hypothetical protein"
"BKA90DRAFT_135563","KAE8173552.1","hypothetical protein"
"BKA90DRAFT_135565","KAE8173553.1","amino acid permease/ SLC12A domain-containing protein"
"BKA90DRAFT_135566","KAE8173554.1","hypothetical protein"
"BKA90DRAFT_167394","KAE8173555.1","hypothetical protein"
"BKA90DRAFT_135570","KAE8173556.1","hypothetical protein"
"BKA90DRAFT_135571","KAE8173557.1","hypothetical protein"
"BKA90DRAFT_135573","KAE8173558.1","ATPase assembly factor ATP10"
"BKA90DRAFT_135575","KAE8173559.1","cation efflux family-domain-containing protein"
"BKA90DRAFT_173279","KAE8173560.1","mitochondrial ADP/ATP carrier protein"
"BKA90DRAFT_135577","KAE8173561.1","hypothetical protein"
"BKA90DRAFT_135578","KAE8173562.1","hypothetical protein"
"BKA90DRAFT_156539","KAE8173563.1","peptidase S8/S53 domain-containing protein"
"BKA90DRAFT_8278","KAE8173564.1","hypothetical protein"
"BKA90DRAFT_80835","KAE8173565.1","small GTPase superfamily"
"BKA90DRAFT_8283","KAE8173566.1","integral peroxisomal membrane peroxin-domain-containing protein"
"BKA90DRAFT_8300","KAE8173567.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_80785","KAE8173568.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_135588","KAE8173569.1","MBOAT, membrane-bound O-acyltransferase family-domain-containing protein"
"BKA90DRAFT_135589","KAE8173570.1","hypothetical protein"
"BKA90DRAFT_135590","KAE8173571.1","hypothetical protein"
"BKA90DRAFT_135593","KAE8173572.1","Deoxyuridine 5'-triphosphate nucleotidohydrolase"
"BKA90DRAFT_135595","KAE8173573.1","G protein-coupled glucose receptor regulating Gpa2-domain-containing protein"
"BKA90DRAFT_135596","KAE8173574.1","DNA polymerase family A-domain-containing protein"
"BKA90DRAFT_135597","KAE8173575.1","STAG domain-containing protein"
"BKA90DRAFT_8377","KAE8173576.1","hypothetical protein"
"BKA90DRAFT_135602","KAE8173577.1","hypothetical protein"
"BKA90DRAFT_173295","KAE8173578.1","vacuolar protein sorting 23"
"BKA90DRAFT_135605","KAE8173579.1","ATPase, V0 complex, subunit E1/e2"
"BKA90DRAFT_173296","KAE8173580.1","Der1-like family-domain-containing protein"
"BKA90DRAFT_135607","KAE8173581.1","acyl transferase/acyl hydrolase/lysophospholipase"
"BKA90DRAFT_80845","KAE8173582.1","RmlC-like cupin domain-containing protein"
"BKA90DRAFT_109841","KAE8173583.1","general substrate transporter"
"BKA90DRAFT_135611","KAE8173584.1","ELMO/CED-12 family-domain-containing protein"
"BKA90DRAFT_135612","KAE8173585.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_173301","KAE8173586.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_135615","KAE8173587.1","hypothetical protein"
"BKA90DRAFT_8441","KAE8173588.1","adaptin N terminal region-domain-containing protein"
"BKA90DRAFT_8435","KAE8173589.1","hypothetical protein"
"BKA90DRAFT_135620","KAE8173590.1","hypothetical protein"
"BKA90DRAFT_109853","KAE8173591.1","hypothetical protein"
"BKA90DRAFT_8963","KAE8173382.1","armadillo-type protein"
"BKA90DRAFT_135627","KAE8173383.1","hypothetical protein"
"BKA90DRAFT_8987","KAE8173384.1","hypothetical protein"
"BKA90DRAFT_135631","KAE8173385.1","hypothetical protein"
"BKA90DRAFT_135632","KAE8173386.1","mediator of RNA polymerase II transcription subunit 19"
"BKA90DRAFT_135635","KAE8173387.1","hypothetical protein"
"BKA90DRAFT_135636","KAE8173388.1","tryptophan synthase beta subunit-like PLP-dependent enzyme"
"BKA90DRAFT_135637","KAE8173389.1","protein DML1"
"BKA90DRAFT_135638","KAE8173390.1","hypothetical protein"
"BKA90DRAFT_9026","KAE8173391.1","hypothetical protein"
"BKA90DRAFT_161439","KAE8173392.1","amino acid permease-domain-containing protein"
"BKA90DRAFT_109873","KAE8173393.1","hypothetical protein"
"BKA90DRAFT_135643","KAE8173394.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_109879","KAE8173395.1","hypothetical protein"
"BKA90DRAFT_9061","KAE8173396.1","cytochrome c oxidase subunit VA-domain-containing protein"
"BKA90DRAFT_109885","KAE8173397.1","transcription elongation factor Elf1 like-domain-containing protein"
"BKA90DRAFT_135655","KAE8173398.1","ribosomal protein L1p/L10e family-domain-containing protein"
"BKA90DRAFT_135657","KAE8173399.1","hypothetical protein"
"BKA90DRAFT_135660","KAE8173400.1","cytochrome c oxidase assembly protein CtaG/Cox11-domain-containing protein"
"BKA90DRAFT_135664","KAE8173401.1","Calcipressin-domain-containing protein"
"BKA90DRAFT_135665","KAE8173402.1","N-acetylglucosaminyl transferase component-domain-containing protein"
"BKA90DRAFT_135666","KAE8173403.1","hypothetical protein"
"BKA90DRAFT_135669","KAE8173404.1","hypothetical protein"
"BKA90DRAFT_135671","KAE8173405.1","V-type ATPase, V0 complex, 116kDa subunit family"
"BKA90DRAFT_135672","KAE8173406.1","rab-GTPase-TBC domain-containing protein"
"BKA90DRAFT_109910","KAE8173407.1","hypothetical protein"
"BKA90DRAFT_9179","KAE8173408.1","hypothetical protein"
"BKA90DRAFT_135677","KAE8173409.1","hypothetical protein"
"BKA90DRAFT_151782","KAE8173410.1","Thg1 C terminal domain-containing protein"
"BKA90DRAFT_81111","KAE8173411.1","hypothetical protein"
"BKA90DRAFT_81155","KAE8173412.1","hypothetical protein"
"BKA90DRAFT_9230","KAE8173413.1","hypothetical protein"
"BKA90DRAFT_135687","KAE8173414.1","mitochondrial 37S ribosomal protein MRPS16"
"BKA90DRAFT_9254","KAE8173415.1","hypothetical protein"
"BKA90DRAFT_151787","KAE8173416.1","hypothetical protein"
"BKA90DRAFT_135696","KAE8173417.1","Glutamate/Leucine/Phenylalanine/Valine dehydrogenase-domain-containing protein"
"BKA90DRAFT_135698","KAE8173418.1","hypothetical protein"
"BKA90DRAFT_109934","KAE8173419.1","hypothetical protein"
"BKA90DRAFT_9284","KAE8173420.1","hypothetical protein"
"BKA90DRAFT_135701","KAE8173421.1","hypothetical protein"
"BKA90DRAFT_9302","KAE8173422.1","hypothetical protein"
"BKA90DRAFT_135712","KAE8173423.1","calcium-transporting ATPase 1"
"BKA90DRAFT_135713","KAE8173424.1","DHBP synthase RibB-like alpha/beta domain-containing protein"
"BKA90DRAFT_9316","KAE8173425.1","thioredoxin-like protein"
"BKA90DRAFT_135715","KAE8173426.1","hypothetical protein"
"BKA90DRAFT_135718","KAE8173427.1","hypothetical protein"
"BKA90DRAFT_135723","KAE8173428.1","solute carrier family 25 member 38"
"BKA90DRAFT_135725","KAE8173429.1","terpenoid cyclases/protein prenyltransferase alpha-alpha toroid"
"BKA90DRAFT_135726","KAE8173430.1","pyridoxal phosphate-dependent transferase"
"BKA90DRAFT_135727","KAE8173431.1","Glutamyl-tRNA amidotransferase subunit B, mitochondrial"
"BKA90DRAFT_135728","KAE8173432.1","hypothetical protein"
"BKA90DRAFT_135729","KAE8173433.1","transcription factor S-II, central domain-containing protein"
"BKA90DRAFT_135730","KAE8173434.1","hypothetical protein"
"BKA90DRAFT_9417","KAE8173435.1","hypothetical protein"
"BKA90DRAFT_9420","KAE8173436.1","hypothetical protein"
"BKA90DRAFT_161479","KAE8173437.1","tryptophan synthase beta subunit-like PLP-dependent enzyme"
"BKA90DRAFT_9452","KAE8173438.1","Rho GTPase activation protein"
"BKA90DRAFT_81056","KAE8173439.1","magnesium transporter"
"BKA90DRAFT_9460","KAE8173440.1","alkaline-phosphatase-like protein"
"BKA90DRAFT_135740","KAE8173441.1","hypothetical protein"
"BKA90DRAFT_9468","KAE8173442.1","chloride channel"
"BKA90DRAFT_135745","KAE8173443.1","SNF2 family N-terminal domain-containing protein"
"BKA90DRAFT_135747","KAE8173444.1","hypothetical protein"
"BKA90DRAFT_109991","KAE8173445.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_9483","KAE8173446.1","hypothetical protein"
"BKA90DRAFT_135752","KAE8173447.1","hypothetical protein"
"BKA90DRAFT_81060","KAE8173448.1","mitochondrial resolvase Ydc2"
"BKA90DRAFT_135755","KAE8173449.1","hypothetical protein"
"BKA90DRAFT_135758","KAE8173450.1","kinase-like domain-containing protein"
"BKA90DRAFT_135760","KAE8173451.1","hypothetical protein"
"BKA90DRAFT_135761","KAE8173452.1","hypothetical protein"
"BKA90DRAFT_135767","KAE8173453.1","ras family-domain-containing protein"
"BKA90DRAFT_135772","KAE8173454.1","DAD family-domain-containing protein"
"BKA90DRAFT_135773","KAE8173455.1","armadillo-type protein"
"BKA90DRAFT_135777","KAE8173456.1","hypothetical protein"
"BKA90DRAFT_135779","KAE8173457.1","plasma membrane fusion protein PRM1"
"BKA90DRAFT_9615","KAE8173458.1","hypothetical protein"
"BKA90DRAFT_135781","KAE8173459.1","tryptophan synthase beta subunit-like PLP-dependent enzyme"
"BKA90DRAFT_135783","KAE8173460.1","Up-regulated during septation-domain-containing protein"
"BKA90DRAFT_110024","KAE8173461.1","lipase"
"BKA90DRAFT_135786","KAE8173462.1","hypothetical protein"
"BKA90DRAFT_135787","KAE8173463.1","Low temperature viability protein"
"BKA90DRAFT_151828","KAE8173464.1","hypothetical protein"
"BKA90DRAFT_135788","KAE8173465.1","hypothetical protein"
"BKA90DRAFT_135789","KAE8173466.1","pyridoxal phosphate-dependent transferase"
"BKA90DRAFT_95757","KAE8173467.1","autophagy-related protein 2"
"BKA90DRAFT_135792","KAE8173468.1","hypothetical protein"
"BKA90DRAFT_110037","KAE8173469.1","hypothetical protein"
"BKA90DRAFT_135795","KAE8173470.1","hypothetical protein"
"BKA90DRAFT_135797","KAE8173471.1","hypothetical protein"
"BKA90DRAFT_135800","KAE8173472.1","DNA polymerase epsilon subunit C"
"BKA90DRAFT_156709","KAE8173255.1","hypothetical protein"
"BKA90DRAFT_9951","KAE8173256.1","hypothetical protein"
"BKA90DRAFT_145798","KAE8173257.1","hypothetical protein"
"BKA90DRAFT_135804","KAE8173258.1","hypothetical protein"
"BKA90DRAFT_135806","KAE8173259.1","hypothetical protein"
"BKA90DRAFT_135809","KAE8173260.1","Glutamyl-tRNA amidotransferase subunit F, mitochondrial"
"BKA90DRAFT_135810","KAE8173261.1","hypothetical protein"
"BKA90DRAFT_135811","KAE8173262.1","Pescadillo"
"BKA90DRAFT_135812","KAE8173263.1","mediator of RNA polymerase II transcription subunit 18"
"BKA90DRAFT_135813","KAE8173264.1","ergosterol biosynthesis ERG4/ERG24"
"BKA90DRAFT_135814","KAE8173265.1","vacuolar ATPase assembly integral membrane protein VMA21"
"BKA90DRAFT_135816","KAE8173266.1","CENP-Q, a CENPA-CAD centromere complex subunit-domain-containing protein"
"BKA90DRAFT_135817","KAE8173267.1","LsmAD domain-containing protein"
"BKA90DRAFT_135818","KAE8173268.1","hypothetical protein"
"BKA90DRAFT_135819","KAE8173269.1","hypothetical protein"
"BKA90DRAFT_135821","KAE8173270.1","Mad3/BUB1 homology region 1-domain-containing protein"
"BKA90DRAFT_135822","KAE8173271.1","kinase-like domain-containing protein"
"BKA90DRAFT_95797","KAE8173272.1","NAD(P)H-hydrate epimerase"
"BKA90DRAFT_110074","KAE8173273.1","hypothetical protein"
"BKA90DRAFT_135825","KAE8173274.1","hypothetical protein"
"BKA90DRAFT_135826","KAE8173275.1","hypothetical protein"
"BKA90DRAFT_135827","KAE8173276.1","transcription factor TFIID-domain-containing protein"
"BKA90DRAFT_135828","KAE8173277.1","cohesin loading factor"
"BKA90DRAFT_135829","KAE8173278.1","hypothetical protein"
"BKA90DRAFT_173400","KAE8173279.1","peptidase S8/S53 domain-containing protein"
"BKA90DRAFT_135831","KAE8173280.1","hypothetical protein"
"BKA90DRAFT_135833","KAE8173281.1","AAA domain-containing protein"
"BKA90DRAFT_135834","KAE8173282.1","inosine triphosphate pyrophosphatase"
"BKA90DRAFT_135836","KAE8173283.1","kynureninase"
"BKA90DRAFT_156718","KAE8173284.1","peptidase S8/S53 domain-containing protein"
"BKA90DRAFT_167540","KAE8173285.1","guanine nucleotide exchange factor in Golgi transport N-terminal-domain-containing protein"
"BKA90DRAFT_135839","KAE8173286.1","hypothetical protein"
"BKA90DRAFT_135840","KAE8173287.1","PalH/RIM21-domain-containing protein"
"BKA90DRAFT_135841","KAE8173288.1","rab-GTPase-TBC domain-containing protein"
"BKA90DRAFT_135842","KAE8173289.1","hypothetical protein"
"BKA90DRAFT_135843","KAE8173290.1","hypothetical protein"
"BKA90DRAFT_135844","KAE8173291.1","trafficking protein particle complex subunit 10"
"BKA90DRAFT_167547","KAE8173292.1","hypothetical protein"
"BKA90DRAFT_151869","KAE8173293.1","vacuolar protein 14 C-terminal Fig4p binding-domain-containing protein"
"BKA90DRAFT_135850","KAE8173294.1","peroxin"
"BKA90DRAFT_135852","KAE8173295.1","ubiquitin-conjugating enzyme/RWD-like protein"
"BKA90DRAFT_135854","KAE8173296.1","phosphatase 2C-like domain-containing protein"
"BKA90DRAFT_135856","KAE8173297.1","mitochondrial 37S ribosomal protein RSM19"
"BKA90DRAFT_135857","KAE8173298.1","ATP-dependent RNA helicase DBP6"
"BKA90DRAFT_135858","KAE8173299.1","hypothetical protein"
"BKA90DRAFT_10243","KAE8173300.1","kinase-like domain-containing protein"
"BKA90DRAFT_135861","KAE8173301.1","hypothetical protein"
"BKA90DRAFT_135862","KAE8173302.1","hypothetical protein"
"BKA90DRAFT_135863","KAE8173303.1","hypothetical protein"
"BKA90DRAFT_135865","KAE8173304.1","hypothetical protein"
"BKA90DRAFT_135866","KAE8173305.1","DAHP synthetase"
"BKA90DRAFT_135868","KAE8173306.1","hypothetical protein"
"BKA90DRAFT_173423","KAE8173307.1","Sybindin-like protein"
"BKA90DRAFT_135871","KAE8173308.1","Ppx/GppA phosphatase family-domain-containing protein"
"BKA90DRAFT_167560","KAE8173309.1","CwfJ C-terminus 1-domain-containing protein-like protein"
"BKA90DRAFT_135874","KAE8173310.1","hexokinase"
"BKA90DRAFT_135877","KAE8173311.1","26S proteasome subunit RPN7-domain-containing protein"
"BKA90DRAFT_110164","KAE8173312.1","hypothetical protein"
"BKA90DRAFT_135879","KAE8173313.1","hypothetical protein"
"BKA90DRAFT_135880","KAE8173314.1","hypothetical protein"
"BKA90DRAFT_167566","KAE8173315.1","hypothetical protein"
"BKA90DRAFT_135884","KAE8173316.1","hypothetical protein"
"BKA90DRAFT_167568","KAE8173317.1","hypothetical protein"
"BKA90DRAFT_135889","KAE8173318.1","ras family-domain-containing protein"
"BKA90DRAFT_135890","KAE8173319.1","WLM domain-containing protein"
"BKA90DRAFT_135891","KAE8173320.1","translation machinery associated TMA7"
"BKA90DRAFT_135894","KAE8173321.1","hypothetical protein"
"BKA90DRAFT_10349","KAE8173322.1","hypothetical protein"
"BKA90DRAFT_127901","KAE8173323.1","hypothetical protein"
"BKA90DRAFT_135901","KAE8173324.1","hypothetical protein"
"BKA90DRAFT_135903","KAE8173325.1","hypothetical protein"
"BKA90DRAFT_135905","KAE8173326.1","hypothetical protein"
"BKA90DRAFT_167575","KAE8173327.1","hypothetical protein"
"BKA90DRAFT_135908","KAE8173328.1","hypothetical protein"
"BKA90DRAFT_135909","KAE8173329.1","ACT domain-containing protein"
"BKA90DRAFT_135910","KAE8173330.1","hypothetical protein"
"BKA90DRAFT_135911","KAE8173331.1","4-hydroxyphenylpyruvate dioxygenase"
"BKA90DRAFT_135913","KAE8173332.1","cytochrome P450"
"BKA90DRAFT_135915","KAE8173333.1","NADP-dependent oxidoreductase domain-containing protein"
"BKA90DRAFT_135918","KAE8173334.1","hypothetical protein"
"BKA90DRAFT_135919","KAE8173335.1","hypothetical protein"
"BKA90DRAFT_135920","KAE8173336.1","D-isomer specific 2-hydroxyacid dehydrogenase"
"BKA90DRAFT_135922","KAE8173337.1","hypothetical protein"
"BKA90DRAFT_135923","KAE8173338.1","hypothetical protein"
"BKA90DRAFT_167586","KAE8173339.1","hypothetical protein"
"BKA90DRAFT_135927","KAE8173340.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_10466","KAE8173341.1","C2H2-type zinc finger protein Mhy1p"
"BKA90DRAFT_135933","KAE8173342.1","Frag1/DRAM/Sfk1 family-domain-containing protein"
"BKA90DRAFT_135935","KAE8173343.1","ATP-dependent RNA helicase ROK1"
"BKA90DRAFT_135936","KAE8173344.1","mitochondrial ATP synthase g subunit-domain-containing protein"
"BKA90DRAFT_135939","KAE8173345.1","dihydrouridine synthase-domain-containing protein"
"BKA90DRAFT_135940","KAE8173346.1","ribonuclease H-like domain-containing protein"
"BKA90DRAFT_135941","KAE8173347.1","hypothetical protein"
"BKA90DRAFT_135943","KAE8173348.1","hypothetical protein"
"BKA90DRAFT_167597","KAE8173349.1","hypothetical protein"
"BKA90DRAFT_135947","KAE8173350.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_135950","KAE8173351.1","hypothetical protein"
"BKA90DRAFT_135951","KAE8173352.1","adaptin N terminal region-domain-containing protein"
"BKA90DRAFT_135952","KAE8173353.1","hypothetical protein"
"BKA90DRAFT_173460","KAE8173354.1","hypothetical protein"
"BKA90DRAFT_135954","KAE8173355.1","hypothetical protein"
"BKA90DRAFT_135956","KAE8173356.1","60S acidic ribosomal protein P1"
"BKA90DRAFT_135957","KAE8173357.1","general substrate transporter"
"BKA90DRAFT_135958","KAE8173358.1","hypothetical protein"
"BKA90DRAFT_135961","KAE8173359.1","hypothetical protein"
"BKA90DRAFT_10593","KAE8173360.1","complex proteins associated with Set1p component shg1-domain-containing protein"
"BKA90DRAFT_135963","KAE8173361.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_135964","KAE8173362.1","BAR domain-containing family protein"
"BKA90DRAFT_135965","KAE8173363.1","Oxoglutarate and iron-dependent oxygenase degradation C-term-domain-containing protein"
"BKA90DRAFT_135966","KAE8173364.1","60S ribosomal protein L28"
"BKA90DRAFT_135967","KAE8173365.1","hypothetical protein"
"BKA90DRAFT_135968","KAE8173366.1","Pre-mRNA splicing factor PRP21 like protein-domain-containing protein"
"BKA90DRAFT_156755","KAE8173367.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_10622","KAE8173368.1","survival motor neuron interacting protein 1-domain-containing protein"
"BKA90DRAFT_135970","KAE8173369.1","hypothetical protein"
"BKA90DRAFT_167619","KAE8173370.1","hypothetical protein"
"BKA90DRAFT_96005","KAE8173371.1","ATP-dependent RNA helicase eIF4A"
"BKA90DRAFT_135975","KAE8173372.1","ubiquitin-conjugating enzyme/RWD-like protein"
"BKA90DRAFT_135976","KAE8173373.1","ankyrin repeat-containing domain protein"
"BKA90DRAFT_96015","KAE8173374.1","rhomboid protein 2"
"BKA90DRAFT_135978","KAE8173375.1","hypothetical protein"
"BKA90DRAFT_135980","KAE8173376.1","mitochondrial import inner membrane translocase subunit TIM50"
"BKA90DRAFT_135983","KAE8173377.1","hypothetical protein"
"BKA90DRAFT_135985","KAE8173378.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_135986","KAE8173379.1","hypothetical protein"
"BKA90DRAFT_135988","KAE8173380.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_10721","KAE8173381.1","GPI transamidase component PIG-T"
"BKA90DRAFT_135990","KAE8173154.1","putative TOS1-like glycosyl hydrolase-domain-containing protein"
"BKA90DRAFT_135993","KAE8173155.1","hypothetical protein"
"BKA90DRAFT_135995","KAE8173156.1","hypothetical protein"
"BKA90DRAFT_161625","KAE8173157.1","Aldehyde/histidinol dehydrogenase"
